CAND_ID,CAND_NAME,CAND_ICI,CAND_PTY_AFFILIATION,TTL_DISB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT
H8AL04086,RICKY NEIGHBORS,C,DEM,23619.51,AL,4
H6AL04098,ROBERT B. REP. ADERHOLT,I,REP,1028366.36,AL,4
H2AL04105,JOHN COCHRAN,C,LIB,6330.7,AL,4
H2AL05177,KATHY L WARNER-STANTON,O,DEM,84706.25,AL,5
H0AL05163,MO BROOKS,I,REP,4750635.47,AL,5
H0AL05205,CHRIS LEWIS,C,REP,373.3,AL,5
H2AL05102,DALE WHITNEY STRONG,C,REP,1975308.27,AL,5
H2AL05110,KEVIN ANDREW BLALOCK,C,REP,49212.24,AL,5
H2AL05128,CASEY WARDYNSKI,O,REP,777338.34,AL,5
H2AL05136,HARRISON GAGE WOODARD WRIGHT,O,REP,0.0,AL,5
H2AL05169,JOHN ROBERTS,O,REP,167173.32,AL,5
H2AL05219,PAUL SANFORD,O,REP,70417.97,AL,5
H2AL05144,CHARLES THOMPSON,O,AL,34895.13,AL,5
H4AL06098,GARY PALMER,I,REP,1203524.76,AL,6
H0AL07086,TERRI A. SEWELL,I,DEM,1706609.01,AL,7
H2AL07173,BEATRICE JACKSON NICHOLS,C,REP,47821.88,AL,7
H0AR01109,CHAD CAUSEY,O,DEM,15181.59,AR,1
H2AR01113,MONTE HODGES,C,DEM,64098.32,AR,1
H0AR01083,ERIC ALAN RICK CRAWFORD,I,REP,647616.25,AR,1
H0AR01125,PRINCELLA D SMITH,O,REP,0.0,AR,1
H2AR01105,BRANDT SMITH,C,REP,30450.0,AR,1
H2AR01121,JODY SHACKELFORD,C,REP,21377.52,AR,1
H2AR02087,NICHOLAS CARTWRIGHT,C,DEM,19989.0,AR,2
H2AR02095,QUINTESSA DR. HATHAWAY,C,DEM,10376.75,AR,2
H2AR02103,CONRAD E REYNOLDS,C,REP,150763.96,AR,2
H2AR02111,DAVID P POSTON,C,REP,1309.86,AR,2
H4AR02141,JAMES FRENCH HILL,I,REP,2926696.72,AR,2
H0AR03030,DAVID JEFFREY WHITAKER,O,DEM,0.0,AR,3
H2AR03283,LAUREN HAYS,C,DEM,65741.89,AR,3
H0AR03055,STEVE WOMACK,I,REP,1083110.59,AR,3
H2AR03143,JAMES PAUL HENDREN,C,REP,19.96,AR,3
H2AR03275,NEIL KUMAR,C,REP,110333.24,AR,3
H2AR04083,THOMAS COTTON,C,REP,3492022.96,AR,4
H4AR04048,BRUCE WESTERMAN,I,REP,1445546.44,AR,4
H4AS00036,AUMUA AMATA,I,REP,57524.13,AS,0
H0AZ01358,EVA PUTZOVA,C,DEM,21118.24,AZ,1
H2AZ01404,GINGER SYKES TORRES,C,DEM,135079.68,AZ,1
H2AZ06221,JEVIN D HODGE,C,DEM,2550588.79,AZ,1
H2AZ06254,W (WALTER) JOHN WILLIAMSON,C,DEM,289.73,AZ,1
H2AZ06270,ADAM METZENDORF,C,DEM,308020.36,AZ,1
H0AZ07082,JOSH BARNETT,C,REP,62912.51,AZ,1
H2AZ01172,RICHARD G. RENZI,I,REP,1244.79,AZ,1
H2AZ01347,JOHN W MOORE FOR AZ,C,REP,181611.56,AZ,1
H2AZ01370,ANDY YATES,C,REP,114706.0,AZ,1
H2AZ06247,ELIJAH NORTON,C,REP,5400811.57,AZ,1
H4AZ01145,GARY KIEHNE,C,REP,0.0,AZ,1
H8AZ01237,TIFFANY SHEDD,C,REP,76584.62,AZ,1
H2AZ02329,RANDALL S. FRIESE,C,DEM,705957.71,AZ,2
H6AZ01199,TOM O'HALLERAN,I,DEM,4322531.6,AZ,2
H8AZ02136,MATTHEW GERALD HEINZ,O,DEM,0.0,AZ,2
H0AZ02232,SHAY STAUTZ,C,REP,6589.23,AZ,2
H2AZ01339,WALTER JACK BLACKMAN,C,REP,1151626.08,AZ,2
H2AZ01354,ELI CRANE,C,REP,3713509.96,AZ,2
H2AZ01362,RONALD WATKINS,C,REP,262318.38,AZ,2
H2AZ02352,DOUGLAS LOWELL,O,REP,278696.15,AZ,2
H2AZ02394,LUCRETIA FREE,O,REP,16697.49,AZ,2
H2AZ02402,MARK DELUZIO,O,REP,1331651.61,AZ,2
H2AZ02410,STEVEN KRYSTOFIAK,O,REP,516674.0,AZ,2
H2AZ02428,MYRON LIZER,O,REP,735.52,AZ,2
H2AZ08102,MARTHA MCSALLY,I,REP,0.0,AZ,2
H4AZ07043,RUBEN GALLEGO,I,DEM,2273861.31,AZ,3
H2AZ03152,LUIS B POZZOLO,C,REP,268102.04,AZ,3
H2AZ07187,JEFFREY NELSON MR ZINK,C,REP,54677.95,AZ,3
H2AZ04192,JUDITH STAHL,C,DEM,261679.59,AZ,4
H8AZ09040,GREG STANTON,I,DEM,5325426.86,AZ,4
H2AZ04135,RON GOULD,C,REP,0.0,AZ,4
H2AZ09175,TANYA CONTRERAS WHEELESS,C,REP,1285879.4,AZ,4
H2AZ09183,JERONE DAVISON,C,REP,150262.88,AZ,4
H2AZ09191,KELLY COOPER,C,REP,2283332.74,AZ,4
H0AZ05185,JAVIER GARCIA MR. RAMOS,C,DEM,15626.17,AZ,5
H6AZ05083,ANDY MR. BIGGS,I,REP,2531589.72,AZ,5
H6AZ05091,JUSTIN OLSON,O,REP,0.0,AZ,5
H2AZ05173,CLINT SMITH,C,IND,197482.53,AZ,5
H0AZ06084,KARL E GENTLES,C,DEM,0.0,AZ,6
H2AZ02311,KIRSTEN ENGEL,C,DEM,2469071.03,AZ,6
H2AZ02337,MARCOS J URREA,C,DEM,10350.51,AZ,6
H2AZ02345,DANIEL HERNANDEZ,O,DEM,1194731.97,AZ,6
H8AZ04165,DELINA DISANTO,C,DEM,183046.71,AZ,6
H8AZ08083,HIRAL VYAS TIPIRNENI,C,DEM,58763.17,AZ,6
H0AZ01184,JEFF MR. FLAKE,C,REP,253916.17,AZ,6
H2AZ02360,JUAN CISCOMANI,O,REP,3344411.15,AZ,6
H2AZ02378,KATHLEEN WINN,O,REP,346725.4,AZ,6
H2AZ06288,KELLY TOWNSEND,C,REP,21097.95,AZ,6
H2AZ06304,YOUNG MAYBERRY,C,REP,25323.57,AZ,6
H4AZ06045,DAVID S. SCHWEIKERT,I,REP,2025054.46,AZ,6
H2AZ07070,RAUL M GRIJALVA,I,DEM,680516.72,AZ,7
H2AZ07195,NINA BECKER,C,REP,900.19,AZ,7
H0AZ08080,ROBERT OLSEN,C,DEM,33578.2,AZ,8
H2AZ08201,JEREMY SPREITZER,C,DEM,733.81,AZ,8
H8AZ08158,DEBBIE LESKO,I,REP,884874.66,AZ,8
H2AZ08193,JEREMY SPREITZER,C,W,733.81,AZ,8
H2AZ09019,KYRSTEN SINEMA,I,DEM,2332394.79,AZ,9
H2AZ09027,DAVID SCHAPIRA,C,DEM,0.0,AZ,9
H0AZ01259,PAUL DR. GOSAR,I,REP,854965.64,AZ,9
H0AZ03321,VERNON PARKER,C,REP,0.0,AZ,9
H0AZ09021,NICHOLAS TUTORA,C,REP,171.26,AZ,9
H2AZ04218,ADAM MORGAN,C,REP,84349.52,AZ,9
H2AZ06155,TRAVIS W. GRANTHAM,O,REP,360.0,AZ,9
H2AZ09142,ALEX STOVALL,C,REP,150849.67,AZ,9
H2AZ09167,JESUS RENE JR. LOPEZ,C,REP,172698.5,AZ,9
H2AZ09209,RANDY KUTZ,C,REP,78885.21,AZ,9
H2AZ09225,SANDRA E DR DOWLING,C,REP,71959.16,AZ,9
H6AZ09010,DAVID VICTOR GILES,C,REP,84345.92,AZ,9
H0CA06170,CHRISTINE BISH,C,REP,84632.17,CA,0
H2CA01227,MAX STEINER,C,DEM,611213.96,CA,1
H2CA01235,DAVID LEON MR. ZINK,C,DEM,16454.0,CA,1
H2CA02142,DOUG LAMALFA,I,REP,685660.72,CA,1
H2CA01268,ROSE PENELOPE LAGOC YEE,C,NPA,16041.46,CA,1
H2CA02225,BETH HAMPSON,C,DEM,13320.68,CA,2
H2CA06259,JARED HUFFMAN,I,DEM,932320.69,CA,2
H2CA02209,DOUGLAS REV BROWER,C,REP,15677.0,CA,2
H2CA02241,CHRIS MR COULOMBE,C,REP,45233.93,CA,2
H2CA02258,ARCHIMEDES M.D. RAMIREZ,C,REP,23635.0,CA,2
H4CA02098,DALE KENNETH MENSING,C,REP,5084.77,CA,2
H2CA04122,KERMIT JONES,C,DEM,3230693.36,CA,3
H2CA03140,SCOTT R JONES,C,REP,567898.41,CA,3
H2CA03157,KEVIN KILEY,C,REP,3173870.51,CA,3
H2CA04155,ANDREW DAVID ENGDAHL,C,DEM,10264.97,CA,4
H8CA01109,MIKE MR. THOMPSON,I,DEM,2396636.82,CA,4
H8CA04210,JESSICA MORSE,C,DEM,31872.17,CA,4
H2CA04130,SETH NEWMAN,C,REP,303.0,CA,4
H2CA04148,MATTHEW BROCK,C,REP,11242.15,CA,4
H2CA16126,MONIKA LOUISE MS. SHELDON-LONDON,C,REP,5658.3,CA,4
H2CA00096,MICHAEL JAMES MR. BARKLEY,C,DEM,462048.75,CA,5
H2CA05111,DAVID NATHAN MAIN,C,REP,8442.0,CA,5
H2CA10194,JOLENE DALY,C,REP,4840.31,CA,5
H2CA22181,NATHAN MAGSIG,C,REP,430918.58,CA,5
H8CA04152,THOMAS MCCLINTOCK,I,REP,1707260.0,CA,5
H0CA03078,AMERISH BERA,I,DEM,1839780.62,CA,6
H6CA06219,DELMA JEFFERSON,C,DEM,93130.6,CA,6
H0CA03128,TAMIKA HAMILTON,C,REP,1157631.44,CA,6
H0CA05016,JOHN DENNIS MCQUAID,C,REP,941301.62,CA,6
H2CA06325,DAVID KEITH MR. JR. LANGFORD,C,REP,427.37,CA,6
H2CA07133,BRET DANIELS,C,REP,15187.0,CA,6
H2CA06333,KARLA BLACK,C,R,2935.58,CA,6
H2CA06317,JAMES LUCAS FREMGEN,C,DEM,42377.71,CA,7
H6CA05195,DORIS MATSUI,I,DEM,1488665.86,CA,7
H0CA11352,ELIZABETH EMKEN,C,REP,0.0,CA,7
H2CA07141,MAX SEMENENKO,C,REP,48486.15,CA,7
H4CA07055,IGOR A BIRMAN,C,REP,0.0,CA,7
H8CA07056,ANDREW GRANT,C,REP,7945.34,CA,7
H0CA08101,CHRISTINE BUBSER,O,DEM,14783.63,CA,8
H0CA08226,BLANCA GOMEZ,C,DEM,1743.02,CA,8
H0CA10149,JOHN GARAMENDI,I,DEM,1136592.75,CA,8
H2CA08222,DEMNLUS III JOHNSON,C,DEM,29590.73,CA,8
H2CA08230,CHERYL SUDDUTH,C,DEM,37801.76,CA,8
H2CA08248,EDWIN RUTSCH,C,DEM,9075.0,CA,8
H0CA08127,JEREMY STAAT,O,REP,125.0,CA,8
H2CA00153,RUDY RECILE,C,REP,60154.65,CA,8
H2CA09121,HARPREET SINGH CHIMA,O,DEM,80940.93,CA,9
H2CA10236,KARENA FENG,O,DEM,6381714.98,CA,9
H4CA11081,JERRY MCNERNEY,I,DEM,766390.49,CA,9
H8CA10126,JOSH HARDER,O,DEM,8913422.09,CA,9
H2CA09139,THOMAS PATTI,O,REP,1585048.49,CA,9
H2CA09147,JONATHAN MADISON,O,REP,78693.2,CA,9
H2CA09154,JAMES H SHOEMAKER,O,REP,26871.26,CA,9
H0CA10073,MARK DESAULNIER,I,DEM,524180.45,CA,10
H0CA19173,JEFF DENHAM,C,REP,78162.73,CA,10
H2CA10228,RANJIT GILL,C,REP,213525.0,CA,10
H2CA10244,MICHAEL ERNEST KERR,C,GRE,6620.58,CA,10
H2CA12166,JEFFREY ALAN PHILLIPS,C,DEM,4979.03,CA,11
H8CA05035,NANCY PELOSI,I,DEM,28283172.75,CA,11
H8CA12262,SHAHID BUTTAR,C,DEM,201945.88,CA,11
H0CA15262,NISHA SHARMA,O,REP,1229.94,CA,11
H2CA12174,JOHN MR. DENNIS,C,REP,941301.62,CA,11
H0CA11378,MICHAEL ERNEST KERR,C,GRE,6620.58,CA,11
H2CA12190,ERIC CURRY,C,DEM,6077.0,CA,12
H8CA09060,BARBARA LEE,I,DEM,2341393.04,CA,12
H2CA12240,STEPHEN SCOTT SLAUSON,C,REP,1050.0,CA,12
H0CA22102,PHIL ARBALLO,C,DEM,1637184.73,CA,13
H2CA13115,ADAM C. GRAY,C,DEM,2335746.28,CA,13
H4CA13095,BRAD BOYD,,DEM,31.6,CA,13
H2CA13123,DIEGO J MARTINEZ,C,REP,2114.3,CA,13
H2CA16134,DAVID ANTHONY GIGLIO,C,REP,737065.43,CA,13
H2CA13131,JOHN DUARTE,C,OTH,2614406.17,CA,13
H2CA15094,ERIC MICHAEL SWALWELL,I,DEM,3817690.34,CA,14
H8CA12171,JACKIE SPEIER,I,DEM,431444.79,CA,14
H0CA15247,ALISON HAYDEN,C,REP,0.0,CA,14
H2CA14196,THOMAS WONG,O,REP,16598.76,CA,14
H2CA14204,STEVE IYER,O,REP,2274.46,CA,14
H2CA14220,MAJOR SINGH,O,NPA,13744.23,CA,14
H2CA14162,KEVIN MULLIN,O,DEM,1191228.71,CA,15
H2CA14170,DAVID CANEPA,O,DEM,815318.46,CA,15
H2CA14188,EMILY BEACH,O,DEM,580608.95,CA,15
H2CA14147,GUS MATTAMMAL,O,REP,36809.18,CA,15
H2CA15110,JACKIE S COTA,C,REP,1835.23,CA,15
H0CA15171,S. JOSEPH SIMITIAN,,DEM,18058.31,CA,16
H0CA18068,RISHI KUMAR,C,DEM,752584.28,CA,16
H2CA18130,GREG TANAKA,C,DEM,148222.46,CA,16
H2CA18148,AJWANG RADING,C,DEM,233036.68,CA,16
H8CA12098,ANNA G. ESHOO,I,DEM,2069255.34,CA,16
H2CA16100,JOHNNY TACHERRA,C,REP,0.0,CA,16
H2CA16159,BENJAMIN THOMAS MR SOLOMON,C,REP,9457.57,CA,16
H2CA16167,RICHARD DR. FOX,C,REP,15140.0,CA,16
H2CA18155,PETER OHTAKI,C,REP,58334.65,CA,16
H0CA15148,MIKE HONDA,I,DEM,0.0,CA,17
H4CA12055,ROHIT KHANNA,I,DEM,2922351.17,CA,17
H0CA17193,RITESH TANDON,C,REP,116697.57,CA,17
H2CA18171,LUIS ACEVEDO-ARREGUIN,C,DEM,16334.18,CA,18
H4CA16049,ZOE LOFGREN,I,DEM,2771724.75,CA,18
H2CA18163,PETER HERNANDEZ,C,REP,248690.33,CA,18
H6CA20152,JIMMY PANETTA,I,DEM,1618679.93,CA,19
H0CA20122,JEFF GORMAN,C,REP,58955.07,CA,19
H0CA39114,IGNACIO ISRAEL CRUZ-LARA,C,REP,0.0,CA,19
H2CA20136,DALILA EPPERSON,C,REP,27851.59,CA,19
H2CA20144,BEN DEWELL,C,DEM,1234.6,CA,20
H2CA23155,MARISA WOOD,C,DEM,1046953.62,CA,20
H6CA22125,KEVIN MCCARTHY,I,REP,27609762.68,CA,20
H2CA21175,NICOLE PARRA,C,DEM,148757.59,CA,21
H2CA21209,ANGEL LARA,C,DEM,59226.24,CA,21
H4CA20082,JIM COSTA,I,DEM,2055957.67,CA,21
H2CA21183,CHRIS MATHYS,C,REP,384161.64,CA,21
H2CA21225,ADAM THOMAS MR MEDEIROS,C,REP,203170.52,CA,21
H2CA22215,MICHAEL A MAHER,O,REP,309564.79,CA,21
H2CA22249,MATTHEW STOLL,O,REP,358479.46,CA,21
H0CA22110,ERIC GARCIA,C,DEM,219071.35,CA,22
H2CA21191,BRYAN OSORIO,C,DEM,162614.24,CA,22
H2CA21233,RUDY SALAS,C,DEM,2938879.9,CA,22
H2CA22165,LOURIN HUBBARD,C,DEM,82382.27,CA,22
H2CA20094,DAVID VALADAO,I,REP,3845399.96,CA,22
H2CA22173,ANDREAS A BORGEAS,C,REP,43605.0,CA,22
H2CA22199,ELIZABETH HENG,C,REP,199304.36,CA,22
H2CA22231,CONNIE CONWAY,I,REP,165972.21,CA,22
H8CA20059,DEVIN G. NUNES,I,REP,3944892.84,CA,22
H0CA23167,KIM MANGONE,C,DEM,6896.4,CA,23
H2CA08214,DEREK MARSHALL,C,DEM,942607.77,CA,23
H2CA23148,BRUNO AMATO,C,DEM,483799.73,CA,23
H2CA23163,LOUIS GILL,C,DEM,131096.73,CA,23
H0CA08135,JAY OBERNOLTE,I,REP,759890.45,CA,23
H6CA24303,SALUD O. CARBAJAL,I,DEM,1475590.62,CA,24
H2CA24229,BRAD DR. ALLEN,C,REP,40665.77,CA,24
H4CA24142,JUSTIN FAREED,C,REP,0.0,CA,24
H6CA24279,MICHAEL TENENBAUM,C,REP,0.0,CA,24
H2CA24203,MICHELE WESLANDER QUAID,C,NPA,113387.77,CA,24
H2CA25200,RUTH LUEVANOS,C,DEM,50723.3,CA,25
H2CA25234,STEVE HILL,C,DEM,2016.16,CA,25
H2CA36439,RAUL DR. RUIZ,I,DEM,3036789.03,CA,25
H0CA25097,SUZETTE MARTINEZ VALLADARES,C,REP,7666.54,CA,25
H0CA25113,ANGELA UNDERWOOD JACOBS,C,REP,48638.98,CA,25
H0CA25220,DAVID LOZANO,C,REP,0.0,CA,25
H2CA01177,BRIAN HAWKINS,C,REP,534491.6,CA,25
H2CA25242,BRIAN TYSON,C,REP,244393.87,CA,25
H2CA25259,ALBERT 'BURT' THAKUR,C,REP,71605.51,CA,25
H2CA26109,ANTHONY A STRICKLAND,O,REP,0.0,CA,25
H2CA36447,JONATHAN REISS,C,REP,8333.72,CA,25
H2CA46131,CECILIA TRUMAN,C,REP,9287.94,CA,25
H2CA00120,JULIA BROWNLEY,I,DEM,5211001.12,CA,26
H2CA26133,MATTHEW JACOBS,C,REP,2610882.38,CA,26
H2CA26166,FADDE MIKHAIL,C,REP,16992.0,CA,26
H2CA26158,DAVID GOODMAN,C,IND,27741.11,CA,26
H0CA25154,CHRISTY SMITH,C,DEM,4067086.96,CA,27
H2CA25218,JOHN QUAYE II QUARTEY,C,DEM,1207690.6,CA,27
H8CA27112,BRYAN WITT,C,DEM,100.0,CA,27
H0CA25105,MICHAEL GARCIA,I,REP,7453974.99,CA,27
H0CA32101,JUDY CHU,I,DEM,1022615.56,CA,28
H2CA28188,WESLEY PHILLIP HALLMAN,C,REP,107987.18,CA,28
H8CA28185,JOHNNY NALBANDIAN,C,REP,31424.89,CA,28
H0CA28141,JENNIFER BARBOSA,C,IND,1246.59,CA,28
H2CA27222,GIULIANO GIOVANNI DEPAOLIS,C,NPA,5648.63,CA,28
H0CA00082,ANTHONY PORTANTINO,C,DEM,1000.0,CA,29
H2CA28113,TONY CARDENAS,I,DEM,1885959.05,CA,29
H8CA29100,ANGELICA MARIA DUENAS,C,DEM,146976.62,CA,29
H2CA28097,DAVID RAYMOND HERNANDEZ,C,REP,0.0,CA,29
H2CA29087,MARGARITA MARIA MMC MMC CARRANZA,C,REP,7830.2,CA,29
H0CA27085,ADAM SCHIFF,I,DEM,18213398.9,CA,30
H0CA28174,G MAEBE A. GIRL PUDLO,C,DEM,31578.69,CA,30
H0CA26145,RONDA KENNEDY,C,REP,61607.73,CA,30
H0CA27127,JOHNNY NALBANDIAN,C,REP,31424.89,CA,30
H2CA30325,PATRICK LEE GIPSON,C,REP,26125.11,CA,30
H4CA30081,PABLO KLEINMAN,C,REP,0.0,CA,30
H2CA30333,WILLIAM MEURER,C,GRE,34923.95,CA,30
H4CA31055,ELOISE GOMEZ REYES,O,DEM,0.0,CA,31
H8CA34068,GRACE NAPOLITANO,I,DEM,240026.76,CA,31
H2CA31158,REX DALE ALEXANDER GUTIERREZ,C,REP,13550.0,CA,31
H6CA31134,SEAN FLYNN,C,REP,0.0,CA,31
H8CA41063,GARY G MILLER,C,REP,136450.82,CA,31
H0CA31087,HILDA SOLIS,I,DEM,30139.24,CA,32
H0CA32333,EMANUEL LAWRENCE MR GONZALES,C,DEM,0.0,CA,32
H2CA30275,AARIKA SAMONE RHODES,C,DEM,369642.3,CA,32
H2CA30291,SHERVIN AAZAMI,C,DEM,298818.52,CA,32
H2CA30309,JASON RANDOLPH POTELL,C,DEM,63583.82,CA,32
H4CA30123,AEJAZ (RAJI) RAB,C,DEM,5453.5,CA,32
H6CA24113,BRAD SHERMAN,I,DEM,2307797.09,CA,32
H2CA00146,LEAH MELISSA TOOMIM,C,REP,32217.43,CA,32
H2CA30283,LUCIE LAPOINTE VOLOTZKY,C,REP,51615.73,CA,32
H2CA31125,PETE AGUILAR,I,DEM,3514931.08,CA,33
H4CA33168,MATTHEW LOUIS MILLER,O,DEM,2229.0,CA,33
H6CA24048,HENRY A WAXMAN,C,DEM,24720.19,CA,33
H0CA33216,SARAH SUN DR. LIEW,C,REP,137983.4,CA,33
H2CA33253,JOHN MARK MR PORTER,C,REP,67.17,CA,33
H4CA33135,ELAN S. CARR,O,REP,0.0,CA,33
H2CA30143,XAVIER BECERRA,I,DEM,46440.16,CA,34
H2CA34079,DAVID YUNG HO KIM,C,DEM,250999.42,CA,34
H8CA34134,ARTURO CARMONA,O,DEM,803.4,CA,34
H8CA34142,SARA HERNANDEZ,O,DEM,0.0,CA,34
H8CA34258,ROBERT LEE AHN,O,DEM,0.0,CA,34
H8CA34266,JIMMY GOMEZ,I,DEM,1712082.18,CA,34
H2CA35159,LLOYD ALEXANDER STEVENS,C,DEM,13971.79,CA,35
H4CA35031,NORMA TORRES,C,DEM,642464.66,CA,35
H0CA35146,MIKE CARGILE,C,REP,65802.87,CA,35
H2CA35142,RAFAEL DR. CARACAMO,C,REP,54278.05,CA,35
H4CA33119,TED LIEU,I,DEM,2660136.42,CA,36
H0CA36193,ERIN CRUZ,C,REP,2277.29,CA,36
H0CA43108,JOE E III COLLINS,C,REP,3142196.76,CA,36
H2CA33196,DERRICK ROLLIN GATES,C,REP,11016.0,CA,36
H2CA33212,CLAIRE RAGGE,C,REP,28527.69,CA,36
H2CA36462,STORM JENKINS,C,REP,7475.0,CA,36
H2CA36496,ARIANA HAKAMI,C,REP,5312.68,CA,36
H0CA33117,KAREN BASS,I,DEM,1426079.94,CA,37
H2CA37296,DANIEL LEE,O,DEM,59337.07,CA,37
H2CA37304,SYDNEY KAMLAGER,O,DEM,1119591.65,CA,37
H2CA37312,JAN PERRY,O,DEM,709499.38,CA,37
H2CA37338,SANDRA MENDOZA,O,DEM,13553.9,CA,37
H2CA37346,MICHAEL MR. SHURE,O,DEM,243468.94,CA,37
H0CA37167,ERROL MR. WEBBER,C,REP,31181.16,CA,37
H2CA38245,ELIZABETH MOREIRA,C,DEM,10425.53,CA,38
H2CA39078,LINDA SANCHEZ,I,DEM,1917044.99,CA,38
H2CA38260,MITCHELL CLEMMONS,C,REP,0.0,CA,38
H2CA39151,ERIC J CHING,C,REP,275725.66,CA,38
H2CA43245,MARK TAKANO,I,DEM,927262.28,CA,39
H8CA39299,HERBERT LEE,O,DEM,3310.0,CA,39
H2CA39177,JOHN LORDSAL MINNELLA,C,REP,5310.83,CA,39
H2CA39185,ARTHUR LAVERNE DR PETERSON,C,REP,2683.87,CA,39
H2CA41132,BILL SPINNEY,C,REP,127780.44,CA,39
H2CA46123,JOHN J CULLUM,O,REP,0.0,CA,39
H0CA40120,ANTHONY DR. JR. FELIX,C,DEM,21371.69,CA,40
H2CA33048,LUCILLE ROYBAL-ALLARD,I,DEM,180225.16,CA,40
H2CA40092,ASIF DR. MAHMOOD,C,DEM,3684772.77,CA,40
H2CA40084,GREG RATHS,C,REP,226602.86,CA,40
H2CA45133,NICHOLAS TAURUS,C,REP,4882.54,CA,40
H8CA39240,YOUNG KIM,I,REP,9349804.28,CA,40
H8CA40206,RODOLFO CORTES BARRAGAN,C,GRE,1.68,CA,40
H2CA42189,BRANDON MOSELY,C,DEM,200777.77,CA,41
H2CA42197,SHRINA KURANI,C,DEM,548956.4,CA,41
H2CA42205,WILL ROLLINS,C,DEM,3736059.18,CA,41
H2CA37023,KEN CALVERT,I,REP,4069069.73,CA,41
H6CA41182,DOUG SHEPHERD,C,REP,0.0,CA,41
H8CA41170,AJA SMITH,C,REP,150021.04,CA,41
H0CA47166,PETER MATHEWS,C,DEM,5764.34,CA,42
H2CA40076,JAZMIN NICOLE LOPEZ,C,DEM,10366.55,CA,42
H2CA42213,CRISTINA GARCIA,C,DEM,389182.88,CA,42
H2CA42221,WILLIAM M. SUMMERVILLE,C,DEM,36370.96,CA,42
H2CA42247,JOAQUIN BELTRAN,C,DEM,34193.62,CA,42
H2CA47188,ROBERT GARCIA,C,DEM,1374250.43,CA,42
H8CA47078,JOHN BRISCOE,C,REP,296850.32,CA,42
H4CA23011,MAXINE WATERS,I,DEM,1367509.9,CA,43
H6CA44145,OMAR NAVARRO,C,REP,88751.81,CA,43
H2CA35100,ISADORE III HALL,C,DEM,833.14,CA,44
H6CA44103,NANETTE BARRAGAN,I,DEM,759136.83,CA,44
H2CA39136,JAY CHEN,C,DEM,5100737.36,CA,45
H2CA48095,RON VARASTEH,C,DEM,109.99,CA,45
H8CA45189,BRIAN FORDE,C,DEM,700.2,CA,45
H0CA48198,MICHELLE STEEL,I,REP,7112137.89,CA,45
H2CA45158,SHAWN COLLINS,C,REP,516145.52,CA,45
H2CA46149,MICHAEL ORTEGA,C,DEM,63415.0,CA,46
H6CA46116,LOU CORREA,I,DEM,918746.97,CA,46
H0CA45160,CHRISTOPHER GONZALES,C,REP,49194.3,CA,46
H2CA00104,ALAN LOWENTHAL,I,DEM,393467.04,CA,47
H2CA38062,E. PETER MATHEWS,C,DEM,5764.34,CA,47
H8CA45130,KATHERINE PORTER,I,DEM,28863841.45,CA,47
H0CA47133,SOU MOUA,C,REP,887.0,CA,47
H0CA48172,BRIAN J MR. BURLEY,C,REP,380257.36,CA,47
H2CA45125,AMY PHAN WEST,C,REP,193710.63,CA,47
H2CA47204,ERROL WEBBER,C,REP,31181.16,CA,47
