id,year,state,state_po,district,runoff,special,candidate_name,party,CAND_ICI,TTL_DISB,adjusted_vote_margin,candidate_votes,total_votes,NHE,pvi,percent_of_vote,vote_margin,FEC_candidate_id
2010AZ3,2010,ARIZONA,AZ,3,,False,BEN QUAYLE,Republican,O,2645463.16,15.91,108689,208071,6.8,9.0,0.5224,0.111,H0AZ03362
2010AZ3,2010,ARIZONA,AZ,3,,False,JON HULBURD,Democrat,O,1647489.95,-15.69,85610,208071,6.8,9.0,0.4114,0.111,H0AZ03305
2010AZ3,2010,ARIZONA,AZ,3,,False,LEONARD CLARK,Other,,,,3294,208071,6.8,9.0,0.0158,0.111,
2010AZ3,2010,ARIZONA,AZ,3,,False,MICHAEL SHOEN,Other,,,,10478,208071,6.8,9.0,0.0504,0.111,
2010AZ4,2010,ARIZONA,AZ,4,,False,ED PASTOR,Democrat,I,1092555.25,6.59,61524,91907,6.8,-13.0,0.6694,0.3941,H2AZ02055
2010AZ4,2010,ARIZONA,AZ,4,,False,JANET CONTRERAS,Republican,C,82858.12,-5.81,25300,91907,6.8,-13.0,0.2753,0.3941,H0AZ04493
2010AZ4,2010,ARIZONA,AZ,4,,False,JOE COBB,Other,,,,2718,91907,6.8,-13.0,0.0296,0.3941,
2010AZ4,2010,ARIZONA,AZ,4,,False,REBECCA DEWITT,Other,,,,2365,91907,6.8,-13.0,0.0257,0.3941,
2010AZ5,2010,ARIZONA,AZ,5,,False,DAVID SCHWEIKERT,Republican,C,1721363.62,11.89,110374,212250,6.8,5.0,0.52,0.0877,H4AZ06045
2010AZ5,2010,ARIZONA,AZ,5,,False,HARRY E MITCHELL,Democrat,I,2308400.3,-11.71,91749,212250,6.8,5.0,0.4323,0.0877,H6AZ05067
2010AZ5,2010,ARIZONA,AZ,5,,False,NICK COONS,Other,,,,10127,212250,6.8,5.0,0.0477,0.0877,
2010AZ6,2010,ARIZONA,AZ,6,,False,DARRELL TAPP,Other,,,,7712,249383,6.8,15.0,0.0309,0.373,
2010AZ6,2010,ARIZONA,AZ,6,,False,JEFF FLAKE,Republican,I,774230.95,22.17,165649,249383,6.8,15.0,0.6642,0.373,H0AZ01184
2010AZ6,2010,ARIZONA,AZ,6,,False,REBECCA SCHNEIDER,Democrat,,,-21.43,72615,249383,6.8,15.0,0.2912,0.373,
2010AZ6,2010,ARIZONA,AZ,6,,False,RICHARD GRAYSON,Other,,,,3407,249383,6.8,15.0,0.0137,0.373,
2010AZ7,2010,ARIZONA,AZ,7,,False,GEORGE KEANE,Other,,,,4318,159144,6.8,-6.0,0.0271,0.06,
2010AZ7,2010,ARIZONA,AZ,7,,False,HARLEY MEYER,Other,C,8407.76,,4506,159144,6.8,-6.0,0.0283,0.06,H8AZ07028
2010AZ7,2010,ARIZONA,AZ,7,,False,RAUL M GRIJALVA,Democrat,I,1463648.18,-0.74,79935,159144,6.8,-6.0,0.5023,0.06,H2AZ07070
2010AZ7,2010,ARIZONA,AZ,7,,False,RUTH MCCLUNG,Republican,C,684747.7,0.86,70385,159144,6.8,-6.0,0.4423,0.06,H0AZ07017
2010AZ8,2010,ARIZONA,AZ,8,,False,GABRIELLE GIFFORDS,Democrat,I,3888405.81,-10.79,138280,283578,6.8,4.0,0.4876,0.0146,H6AZ08038
2010AZ8,2010,ARIZONA,AZ,8,,False,JESSE KELLY,Republican,C,1653552.57,10.81,134124,283578,6.8,4.0,0.473,0.0146,H0AZ08015
2010AZ8,2010,ARIZONA,AZ,8,,False,STEVEN STOLTZ,Other,,,,11174,283578,6.8,4.0,0.0394,0.0146,
2010CA1,2010,CALIFORNIA,CA,1,,False,CAROL WOLMAN,Other,,,,8486,234592,6.8,-13.0,0.0362,0.3176,
2010CA1,2010,CALIFORNIA,CA,1,,False,LOREN HANKS,Republican,C,109276.65,-5.88,72803,234592,6.8,-13.0,0.3103,0.3176,H0CA01148
2010CA1,2010,CALIFORNIA,CA,1,,False,MIKE RODRIGUES,Other,,,,5996,234592,6.8,-13.0,0.0256,0.3176,
2010CA1,2010,CALIFORNIA,CA,1,,False,MIKE THOMPSON,Democrat,I,1901459.62,6.52,147307,234592,6.8,-13.0,0.6279,0.3176,H8CA01109
2010CA10,2010,CALIFORNIA,CA,10,,False,GARY CLIFT,Republican,C,53249.0,-3.99,88512,233806,6.8,-11.0,0.3786,0.2098,H0CA10180
2010CA10,2010,CALIFORNIA,CA,10,,False,JEREMY CLOWARD,Other,,,,7716,233806,6.8,-11.0,0.033,0.2098,
2010CA10,2010,CALIFORNIA,CA,10,,False,JOHN GARAMENDI,Democrat,I,1714971.13,4.41,137578,233806,6.8,-11.0,0.5884,0.2098,H0CA10149
2010CA11,2010,CALIFORNIA,CA,11,,False,DAVID CHRISTIENSEN,Other,,,,12439,240503,6.8,1.0,0.0517,0.0111,
2010CA11,2010,CALIFORNIA,CA,11,,False,DAVID HARMER,Republican,C,2858560.6,7.81,112703,240503,6.8,1.0,0.4686,0.0111,H0CA10123
2010CA11,2010,CALIFORNIA,CA,11,,False,JERRY MCNERNEY,Democrat,I,3098636.5,-7.79,115361,240503,6.8,1.0,0.4797,0.0111,H4CA11081
2010CA12,2010,CALIFORNIA,CA,12,,False,JACKIE SPEIER,Democrat,I,772791.25,16.73,152044,201162,6.8,-23.0,0.7558,0.5347,H8CA12171
2010CA12,2010,CALIFORNIA,CA,12,,False,MARK PAUL WILLIAMS,Other,,,,4611,201162,6.8,-23.0,0.0229,0.5347,
2010CA12,2010,CALIFORNIA,CA,12,,False,MIKE MOLONEY,Republican,,,-15.67,44475,201162,6.8,-23.0,0.2211,0.5347,
2010CA13,2010,CALIFORNIA,CA,13,,False,FOREST BAKER,Republican,,,-14.76,45575,164378,6.8,-22.0,0.2773,0.4422,
2010CA13,2010,CALIFORNIA,CA,13,,False,FORTNEY PETE STARK,Democrat,I,371118.55,15.64,118278,164378,6.8,-22.0,0.7195,0.4422,H6CA09023
2010CA14,2010,CALIFORNIA,CA,14,,False,ANNA G ESHOO,Democrat,I,1395749.44,14.61,151217,218869,6.8,-21.0,0.6909,0.4126,H8CA12098
2010CA14,2010,CALIFORNIA,CA,14,,False,DAVE CHAPMAN,Republican,,,-13.79,60917,218869,6.8,-21.0,0.2783,0.4126,
2010CA14,2010,CALIFORNIA,CA,14,,False,PAUL LAZAGA,Other,,,,6735,218869,6.8,-21.0,0.0308,0.4126,
2010CA15,2010,CALIFORNIA,CA,15,,False,MICHAEL M HONDA,Democrat,I,850364.24,8.55,126147,186615,6.8,-15.0,0.676,0.352,H0CA15148
2010CA15,2010,CALIFORNIA,CA,15,,False,SCOTT KIRKLAND,Republican,C,66867.0,-7.85,60468,186615,6.8,-15.0,0.324,0.352,H0CA15205
2010CA16,2010,CALIFORNIA,CA,16,,False,DANIEL SAHAGUN,Republican,,,-8.76,37913,156058,6.8,-16.0,0.2429,0.4353,
2010CA16,2010,CALIFORNIA,CA,16,,False,EDWARD GONZALEZ,Other,C,35177.99,,12304,156058,6.8,-16.0,0.0788,0.4353,H0CA16096
2010CA16,2010,CALIFORNIA,CA,16,,False,ZOE LOFGREN,Democrat,I,790373.93,9.64,105841,156058,6.8,-16.0,0.6782,0.4353,H4CA16049
2010CA17,2010,CALIFORNIA,CA,17,,False,ERIC PETERSEN,Other,,,,3397,178139,6.8,-19.0,0.0191,0.368,
2010CA17,2010,CALIFORNIA,CA,17,,False,JEFF TAYLOR,Republican,C,176754.18,-11.83,53176,178139,6.8,-19.0,0.2985,0.368,H8CA17089
2010CA17,2010,CALIFORNIA,CA,17,,False,MARY V LARKIN,Other,,,,2742,178139,6.8,-19.0,0.0154,0.368,
2010CA17,2010,CALIFORNIA,CA,17,,False,SAM FARR,Democrat,I,718568.64,12.57,118734,178139,6.8,-19.0,0.6665,0.368,H4CA17021
2010CA18,2010,CALIFORNIA,CA,18,,False,DENNIS A CARDOZA,Democrat,I,1420229.82,-2.63,72853,124569,6.8,-4.0,0.5848,0.1696,H2CA18056
2010CA18,2010,CALIFORNIA,CA,18,,False,MICHAEL CLARE BERRYHILL SR,Republican,C,929661.61,2.97,51716,124569,6.8,-4.0,0.4152,0.1696,H0CA18050
2010CA19,2010,CALIFORNIA,CA,19,,False,JEFF DENHAM,Republican,O,1210088.28,16.09,128394,198902,6.8,9.0,0.6455,0.294,H0CA19173
2010CA19,2010,CALIFORNIA,CA,19,,False,LORAINE GOODWIN,Democrat,O,46862.0,-15.51,69912,198902,6.8,9.0,0.3515,0.294,H0CA19132
2010CA2,2010,CALIFORNIA,CA,2,,False,JIM REED,Democrat,C,153434.67,-17.66,98092,228940,6.8,11.0,0.4285,0.143,H0CA02138
2010CA2,2010,CALIFORNIA,CA,2,,False,WALLY HERGER,Republican,I,863128.49,17.94,130837,228940,6.8,11.0,0.5715,0.143,H6CA02010
2010CA20,2010,CALIFORNIA,CA,20,,False,ANDY VIDAK,Republican,C,894969.44,1.83,43197,89444,6.8,-5.0,0.483,0.034,H0CA20098
2010CA20,2010,CALIFORNIA,CA,20,,False,JIM COSTA,Democrat,I,2126986.04,-1.77,46247,89444,6.8,-5.0,0.517,0.034,H4CA20082
2010CA21,2010,CALIFORNIA,CA,21,,False,DEVIN NUNES,Republican,I,994286.53,20.8,135979,135979,6.8,14.0,1.0,0.0,H8CA20059
2010CA22,2010,CALIFORNIA,CA,22,,False,KEVIN MCCARTHY,Republican,I,1736571.18,22.8,173490,175663,6.8,16.0,0.9876,0.0,H6CA22125
2010CA23,2010,CALIFORNIA,CA,23,,False,DARRELL M STAFFORD,Other,,,,3326,193463,6.8,-12.0,0.0172,0.2017,
2010CA23,2010,CALIFORNIA,CA,23,,False,JOHN V HAGER,Other,C,116599.76,,5625,193463,6.8,-12.0,0.0291,0.2017,H0CA23159
2010CA23,2010,CALIFORNIA,CA,23,,False,LOIS CAPPS,Democrat,I,991078.62,5.4,111768,193463,6.8,-12.0,0.5777,0.2017,H8CA22089
2010CA23,2010,CALIFORNIA,CA,23,,False,TOM WATSON,Republican,C,607298.83,-5.0,72744,193463,6.8,-12.0,0.376,0.2017,H0CA23118
2010CA24,2010,CALIFORNIA,CA,24,,False,ELTON GALLEGLY,Republican,I,811193.84,11.0,144055,240334,6.8,4.0,0.5994,0.1988,H6CA21028
2010CA24,2010,CALIFORNIA,CA,24,,False,TIMOTHY J ALLISON,Democrat,C,180025.88,-10.6,96279,240334,6.8,4.0,0.4006,0.1988,H0CA24116
2010CA25,2010,CALIFORNIA,CA,25,,False,"HOWARD P ""BUCK"" MCKEON",Republican,I,1334101.08,13.04,118308,191336,6.8,6.0,0.6183,0.2366,H2CA25036
2010CA25,2010,CALIFORNIA,CA,25,,False,JACKIE CONAWAY,Democrat,C,4171.99,-12.56,73028,191336,6.8,6.0,0.3817,0.2366,H8CA25058
2010CA26,2010,CALIFORNIA,CA,26,,False,DAVID DREIER,Republican,I,1391075.52,9.98,112774,208347,6.8,3.0,0.5413,0.1761,H8CA35032
2010CA26,2010,CALIFORNIA,CA,26,,False,DAVID L MILLER,Other,C,41782.43,,12784,208347,6.8,3.0,0.0614,0.1761,H0CA26087
2010CA26,2010,CALIFORNIA,CA,26,,False,RANDALL WEISSBUCH,Other,,,,6696,208347,6.8,3.0,0.0321,0.1761,
2010CA26,2010,CALIFORNIA,CA,26,,False,RUSS WARNER,Democrat,C,217192.1,-9.62,76093,208347,6.8,3.0,0.3652,0.1761,H6CA26183
2010CA27,2010,CALIFORNIA,CA,27,,False,BRAD SHERMAN,Democrat,I,818272.53,6.5,102927,157983,6.8,-13.0,0.6515,0.303,H6CA24113
2010CA27,2010,CALIFORNIA,CA,27,,False,MARK REED,Republican,C,107133.9,-5.9,55056,157983,6.8,-13.0,0.3485,0.303,H0CA27101
2010CA28,2010,CALIFORNIA,CA,28,,False,CARLOS A RODRIGUEZ,Other,,,,10229,127107,6.8,-23.0,0.0805,0.4712,
2010CA28,2010,CALIFORNIA,CA,28,,False,HOWARD L BERMAN,Democrat,I,1124914.9,16.67,88385,127107,6.8,-23.0,0.6954,0.4712,H2CA26026
2010CA28,2010,CALIFORNIA,CA,28,,False,MERLIN FLOYD,Republican,C,39508.86,-15.73,28493,127107,6.8,-23.0,0.2242,0.4712,H0CA28091
2010CA29,2010,CALIFORNIA,CA,29,,False,ADAM B SCHIFF,Democrat,I,1222795.04,7.53,104374,161126,6.8,-14.0,0.6478,0.328,H0CA27085
2010CA29,2010,CALIFORNIA,CA,29,,False,JOHN P COLBERT,Republican,C,671227.53,-6.87,51534,161126,6.8,-14.0,0.3198,0.328,H0CA29099
2010CA29,2010,CALIFORNIA,CA,29,,False,WILLIAM P CUSHING,Other,,,,5218,161126,6.8,-14.0,0.0324,0.328,
2010CA3,2010,CALIFORNIA,CA,3,,False,AMI BERA,Democrat,C,2935828.38,-12.73,113128,261938,6.8,6.0,0.4319,0.0689,H0CA03078
2010CA3,2010,CALIFORNIA,CA,3,,False,DANIEL E LUNGREN,Republican,I,1974501.49,12.87,131169,261938,6.8,6.0,0.5008,0.0689,H6CA34112
2010CA3,2010,CALIFORNIA,CA,3,,False,DOUGLAS ARTHUR TUMA,Other,C,1085.4,,6275,261938,6.8,6.0,0.024,0.0689,H8CA05134
2010CA3,2010,CALIFORNIA,CA,3,,False,JERRY L LEIDECKER,Other,,,,6577,261938,6.8,6.0,0.0251,0.0689,
2010CA3,2010,CALIFORNIA,CA,3,,False,MIKE ROSKEY,Other,,,,4789,261938,6.8,6.0,0.0183,0.0689,
2010CA30,2010,CALIFORNIA,CA,30,,False,CHARLES E WILKERSON,Republican,C,376986.91,-10.87,75948,237747,6.8,-18.0,0.3194,0.3269,H0CA30105
2010CA30,2010,CALIFORNIA,CA,30,,False,ERICH D MILLER,Other,C,8878.85,,5021,237747,6.8,-18.0,0.0211,0.3269,H0CA30113
2010CA30,2010,CALIFORNIA,CA,30,,False,HENRY A WAXMAN,Democrat,I,1440465.32,11.53,153663,237747,6.8,-18.0,0.6463,0.3269,H6CA24048
2010CA30,2010,CALIFORNIA,CA,30,,False,RICHARD R CASTALDO,Other,,,,3115,237747,6.8,-18.0,0.0131,0.3269,
2010CA31,2010,CALIFORNIA,CA,31,,False,STEPHEN C SMITH,Republican,C,14451.72,-21.52,14740,91106,6.8,-29.0,0.1618,0.6764,H0CA31111
2010CA31,2010,CALIFORNIA,CA,31,,False,XAVIER BECERRA,Democrat,I,1699464.63,22.88,76363,91106,6.8,-29.0,0.8382,0.6764,H2CA30143
2010CA32,2010,CALIFORNIA,CA,32,,False,"EDWARD ""ED"" SCHMERLING",Republican,,,-7.78,31697,109456,6.8,-15.0,0.2896,0.4208,
2010CA32,2010,CALIFORNIA,CA,32,,False,JUDY CHU,Democrat,I,1910356.68,8.62,77759,109456,6.8,-15.0,0.7104,0.4208,H0CA32101
2010CA33,2010,CALIFORNIA,CA,33,,False,JAMES L ANDION,Republican,,,-27.48,21342,153333,6.8,-35.0,0.1392,0.7216,
2010CA33,2010,CALIFORNIA,CA,33,,False,KAREN BASS,Democrat,O,768918.65,28.92,131990,153333,6.8,-35.0,0.8608,0.7216,H0CA33117
2010CA34,2010,CALIFORNIA,CA,34,,False,LUCILLE ROYBAL-ALLARD,Democrat,I,611209.15,15.74,69382,89839,6.8,-22.0,0.7723,0.5446,H2CA33048
2010CA34,2010,CALIFORNIA,CA,34,,False,WAYNE MILLER,Republican,,,-14.66,20457,89839,6.8,-22.0,0.2277,0.5446,
2010CA35,2010,CALIFORNIA,CA,35,,False,K BRUCE BROWN,Republican,C,20370.0,-23.61,25561,123694,6.8,-31.0,0.2066,0.5867,H0CA35112
2010CA35,2010,CALIFORNIA,CA,35,,False,MAXINE WATERS,Democrat,I,723305.34,24.79,98131,123694,6.8,-31.0,0.7933,0.5867,H4CA23011
2010CA36,2010,CALIFORNIA,CA,36,,False,HERB PETERS,Other,,,,10840,192035,6.8,-12.0,0.0564,0.2488,
2010CA36,2010,CALIFORNIA,CA,36,,False,JANE HARMAN,Democrat,I,1301447.56,5.45,114489,192035,6.8,-12.0,0.5962,0.2488,H2CA27107
2010CA36,2010,CALIFORNIA,CA,36,,False,MATTIE FEIN,Republican,C,168083.07,-4.95,66706,192035,6.8,-12.0,0.3474,0.2488,H0CA36136
2010CA37,2010,CALIFORNIA,CA,37,,False,LAURA RICHARDSON,Democrat,I,663730.72,19.65,85799,125518,6.8,-26.0,0.6836,0.4513,H8CA37137
2010CA37,2010,CALIFORNIA,CA,37,,False,NICHOLAS DIBS,Other,C,2239.61,,10560,125518,6.8,-26.0,0.0841,0.4513,H8CA37277
2010CA37,2010,CALIFORNIA,CA,37,,False,STAR PARKER,Republican,C,1826846.04,-18.75,29159,125518,6.8,-26.0,0.2323,0.4513,H0CA37159
2010CA38,2010,CALIFORNIA,CA,38,,False,GRACE F NAPOLITANO,Democrat,I,350881.38,11.67,85459,116342,6.8,-18.0,0.7345,0.469,H8CA34068
2010CA38,2010,CALIFORNIA,CA,38,,False,ROBERT VAUGHN,Republican,,,-10.73,30883,116342,6.8,-18.0,0.2655,0.469,
2010CA39,2010,CALIFORNIA,CA,39,,False,JOHN A SMITH,Other,,,,5334,128961,6.8,-12.0,0.0414,0.3067,
2010CA39,2010,CALIFORNIA,CA,39,,False,LARRY S ANDRE,Republican,C,50565.17,-4.89,42037,128961,6.8,-12.0,0.326,0.3067,H0CA39080
2010CA39,2010,CALIFORNIA,CA,39,,False,LINDA T SANCHEZ,Democrat,I,741142.01,5.51,81590,128961,6.8,-12.0,0.6327,0.3067,H2CA39078
2010CA4,2010,CALIFORNIA,CA,4,,False,"BENJAMIN ""BEN"" EMERY",Other,C,10330.0,,22179,304229,6.8,10.0,0.0729,0.2983,H0CA04159
2010CA4,2010,CALIFORNIA,CA,4,,False,CLINT CURTIS,Democrat,C,24671.68,-16.5,95653,304229,6.8,10.0,0.3144,0.2983,H0CA04134
2010CA4,2010,CALIFORNIA,CA,4,,False,TOM MCCLINTOCK,Republican,I,1703386.7,17.1,186397,304229,6.8,10.0,0.6127,0.2983,H8CA04152
2010CA40,2010,CALIFORNIA,CA,40,,False,CHRISTINA AVALOS,Democrat,,,-14.46,59400,178855,6.8,8.0,0.3321,0.3358,
2010CA40,2010,CALIFORNIA,CA,40,,False,EDWARD R ROYCE,Republican,I,1661978.1,15.14,119455,178855,6.8,8.0,0.6679,0.3358,H6CA39020
2010CA41,2010,CALIFORNIA,CA,41,,False,JERRY LEWIS,Republican,I,1148216.29,17.06,127857,202286,6.8,10.0,0.6321,0.2643,H8CA37079
2010CA41,2010,CALIFORNIA,CA,41,,False,PAT MEAGHER,Democrat,C,48418.03,-16.54,74394,202286,6.8,10.0,0.3678,0.2643,H8CA41113
2010CA42,2010,CALIFORNIA,CA,42,,False,GARY G MILLER,Republican,I,769415.39,17.1,127161,204398,6.8,10.0,0.6221,0.3035,H8CA41063
2010CA42,2010,CALIFORNIA,CA,42,,False,MARK LAMBERT,Other,,,,12115,204398,6.8,10.0,0.0593,0.3035,
2010CA42,2010,CALIFORNIA,CA,42,,False,MICHAEL WILLIAMSON,Democrat,,,-16.5,65122,204398,6.8,10.0,0.3186,0.3035,
2010CA43,2010,CALIFORNIA,CA,43,,False,JOE BACA,Democrat,I,697007.19,6.51,70026,106916,6.8,-13.0,0.655,0.31,H6CA42099
2010CA43,2010,CALIFORNIA,CA,43,,False,SCOTT FOLKENS,Republican,C,24769.0,-5.89,36890,106916,6.8,-13.0,0.345,0.31,H6CA43121
2010CA44,2010,CALIFORNIA,CA,44,,False,BILL HEDRICK,Democrat,,,-12.69,85784,193266,6.8,6.0,0.4439,0.1122,
2010CA44,2010,CALIFORNIA,CA,44,,False,KEN CALVERT,Republican,I,1540252.72,12.91,107482,193266,6.8,6.0,0.5561,0.1122,H2CA37023
2010CA45,2010,CALIFORNIA,CA,45,,False,BILL LUSSENHEIDE,Other,,,,13188,206801,6.8,3.0,0.0638,0.0935,
2010CA45,2010,CALIFORNIA,CA,45,,False,MARY BONO MACK,Republican,I,2486843.85,9.89,106472,206801,6.8,3.0,0.5149,0.0935,H8CA44034
2010CA45,2010,CALIFORNIA,CA,45,,False,STEVE POUGNET,Democrat,C,1843287.82,-9.71,87141,206801,6.8,3.0,0.4214,0.0935,H0CA45053
2010CA46,2010,CALIFORNIA,CA,46,,False,DANA ROHRABACHER,Republican,I,382318.61,13.04,139822,224782,6.8,6.0,0.622,0.2441,H8CA42061
2010CA46,2010,CALIFORNIA,CA,46,,False,KEN ARNOLD,Democrat,C,18087.87,-12.56,84940,224782,6.8,6.0,0.3779,0.2441,H0CA46069
2010CA47,2010,CALIFORNIA,CA,47,,False,"CECILIA ""CECI"" IGLESIAS",Other,C,118889.52,,7443,95954,6.8,-4.0,0.0776,0.1371,H0CA47083
2010CA47,2010,CALIFORNIA,CA,47,,False,LORETTA SANCHEZ,Democrat,I,2303721.82,-2.66,50832,95954,6.8,-4.0,0.5298,0.1371,H6CA46033
2010CA47,2010,CALIFORNIA,CA,47,,False,VAN TRAN,Republican,C,1395563.47,2.94,37679,95954,6.8,-4.0,0.3927,0.1371,H0CA47067
2010CA48,2010,CALIFORNIA,CA,48,,False,BETH KROM,Democrat,C,703111.74,-12.57,88465,242719,6.8,6.0,0.3645,0.2349,H0CA48131
2010CA48,2010,CALIFORNIA,CA,48,,False,JOHN CAMPBELL,Republican,I,1098848.75,13.03,145481,242719,6.8,6.0,0.5994,0.2349,H6CA48039
2010CA48,2010,CALIFORNIA,CA,48,,False,MIKE BINKLEY,Other,,,,8773,242719,6.8,6.0,0.0361,0.2349,
2010CA49,2010,CALIFORNIA,CA,49,,False,DARRELL E ISSA,Republican,I,1232154.36,17.11,119088,189677,6.8,10.0,0.6278,0.313,H0CA48024
2010CA49,2010,CALIFORNIA,CA,49,,False,DION CLARK,Other,,,,6585,189677,6.8,10.0,0.0347,0.313,
2010CA49,2010,CALIFORNIA,CA,49,,False,HOWARD KATZ,Democrat,C,14854.36,-16.49,59714,189677,6.8,10.0,0.3148,0.313,H0CA49089
2010CA49,2010,CALIFORNIA,CA,49,,False,MIKE PASTER,Other,,,,4290,189677,6.8,10.0,0.0226,0.313,
2010CA5,2010,CALIFORNIA,CA,5,,False,DORIS O MATSUI,Democrat,I,842505.42,8.67,124220,172410,6.8,-15.0,0.7205,0.4677,H6CA05195
2010CA5,2010,CALIFORNIA,CA,5,,False,GERALD ALLEN FRINK,Other,,,,4594,172410,6.8,-15.0,0.0266,0.4677,
2010CA5,2010,CALIFORNIA,CA,5,,False,PAUL A SMITH,Republican,C,24334.3,-7.73,43577,172410,6.8,-15.0,0.2528,0.4677,H8CA05159
