year,state,state_po,office,district,runoff,special,candidate,party,candidatevotes,totalvotes,CAND_ID,CAND_NAME,CAND_ICI,CAND_PTY_AFFILIATION,TTL_DISB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT
2022,ALABAMA,AL,US HOUSE,4,False,False,RICK NEIGHBORS,DEMOCRAT,26694,195733,H8AL04086,RICKY NEIGHBORS,C,DEM,23619.51,AL,4
2022,ALABAMA,AL,US HOUSE,4,False,False,JOHNNY C COCHRAN,LIBERTARIAN,4303,195733,H2AL04105,JOHN COCHRAN,C,LIB,6330.7,AL,4
2022,ALABAMA,AL,US HOUSE,5,False,False,DALE STRONG,REPUBLICAN,142435,212317,H2AL05102,DALE WHITNEY STRONG,C,REP,1975308.27,AL,5
2022,ALABAMA,AL,US HOUSE,5,False,False,KATHY WARNER-STANTON,DEMOCRAT,62740,212317,H2AL05177,KATHY L WARNER-STANTON,O,DEM,84706.25,AL,5
2022,ALABAMA,AL,US HOUSE,5,False,False,P J GREER,LIBERTARIAN,6773,212317,,,,,,,
2022,ALABAMA,AL,US HOUSE,6,False,False,GARY J PALMER,REPUBLICAN,154233,184203,H4AL06098,GARY PALMER,I,REP,1203524.76,AL,6
2022,ALABAMA,AL,US HOUSE,6,False,False,ANDRIA CHIEFFO,LIBERTARIAN,27833,184203,,,,,,,
2022,ALABAMA,AL,US HOUSE,7,False,False,BEATRICE NICHOLS,REPUBLICAN,67416,193940,H2AL07173,BEATRICE JACKSON NICHOLS,C,REP,47821.88,AL,7
2022,ALABAMA,AL,US HOUSE,7,False,False,TERRI A SEWELL,DEMOCRAT,123233,193940,H0AL07086,TERRI A. SEWELL,I,DEM,1706609.01,AL,7
2022,ALABAMA,AL,US HOUSE,7,False,False,GAVIN GOODMAN,LIBERTARIAN,3212,193940,,,,,,,
2022,ARKANSAS,AR,US HOUSE,1,False,False,ERIC A “RICK” CRAWFORD,REPUBLICAN,153774,208372,H0AR01083,ERIC ALAN RICK CRAWFORD,I,REP,647616.25,AR,1
2022,ARKANSAS,AR,US HOUSE,1,False,False,MONTE HODGES,DEMOCRAT,54598,208372,H2AR01113,MONTE HODGES,C,DEM,64098.32,AR,1
2022,ARKANSAS,AR,US HOUSE,2,False,False,J FRENCH HILL,REPUBLICAN,147975,246446,H4AR02141,JAMES FRENCH HILL,I,REP,2926696.72,AR,2
2022,ARKANSAS,AR,US HOUSE,2,False,False,QUINTESSA HATHAWAY,DEMOCRAT,86887,246446,H2AR02095,QUINTESSA DR. HATHAWAY,C,DEM,10376.75,AR,2
2022,ARKANSAS,AR,US HOUSE,2,False,False,MICHAEL WHITE,LIBERTARIAN,11584,246446,,,,,,,
2022,ARKANSAS,AR,US HOUSE,3,False,False,STEVE WOMACK,REPUBLICAN,142401,223588,H0AR03055,STEVE WOMACK,I,REP,1083110.59,AR,3
2022,ARKANSAS,AR,US HOUSE,3,False,False,LAUREN MALLETT-HAYS,DEMOCRAT,73541,223588,H2AR03283,LAUREN HAYS,C,DEM,65741.89,AR,3
2022,ARKANSAS,AR,US HOUSE,3,False,False,MICHAEL J KALAGIAS,LIBERTARIAN,7646,223588,,,,,,,
2022,ARKANSAS,AR,US HOUSE,4,False,False,BRUCE WESTERMAN,REPUBLICAN,153850,216696,H4AR04048,BRUCE WESTERMAN,I,REP,1445546.44,AR,4
2022,ARKANSAS,AR,US HOUSE,4,False,False,JOHN WHITE,DEMOCRAT,56745,216696,,,,,,,
2022,ARKANSAS,AR,US HOUSE,4,False,False,GREGORY MAXWELL,LIBERTARIAN,6101,216696,,,,,,,
2022,ARIZONA,AZ,US HOUSE,1,False,False,DAVID SCHWEIKERT,REPUBLICAN,182336,361477,,,,,,,
2022,ARIZONA,AZ,US HOUSE,1,False,False,JEVIN HODGE,DEMOCRAT,179141,361477,H2AZ06221,JEVIN D HODGE,C,DEM,2550588.79,AZ,1
2022,ARIZONA,AZ,US HOUSE,2,False,False,ELI CRANE,REPUBLICAN,174169,323396,H2AZ01354,ELI CRANE,C,REP,3713509.96,AZ,2
2022,ARIZONA,AZ,US HOUSE,2,False,False,TOM O’HALLERAN,DEMOCRAT,149151,323396,H6AZ01199,TOM O'HALLERAN,I,DEM,4322531.6,AZ,2
2022,ARIZONA,AZ,US HOUSE,3,False,False,JEFF ZINK,REPUBLICAN,32475,141074,,,,,,,
2022,ARIZONA,AZ,US HOUSE,3,False,False,RUBEN GALLEGO,DEMOCRAT,108599,141074,H4AZ07043,RUBEN GALLEGO,I,DEM,2273861.31,AZ,3
2022,ARIZONA,AZ,US HOUSE,4,False,False,KELLY COOPER,REPUBLICAN,116521,265498,H2AZ09191,KELLY COOPER,C,REP,2283332.74,AZ,4
2022,ARIZONA,AZ,US HOUSE,4,False,False,GREG STANTON,DEMOCRAT,148941,265498,H8AZ09040,GREG STANTON,I,DEM,5325426.86,AZ,4
2022,ARIZONA,AZ,US HOUSE,5,False,False,ANDY BIGGS,REPUBLICAN,182464,321590,H6AZ05083,ANDY MR. BIGGS,I,REP,2531589.72,AZ,5
2022,ARIZONA,AZ,US HOUSE,5,False,False,JAVIER RAMOS,DEMOCRAT,120243,321590,H0AZ05185,JAVIER GARCIA MR. RAMOS,C,DEM,15626.17,AZ,5
2022,ARIZONA,AZ,US HOUSE,5,False,False,CLINT SMITH,INDEPENDENT,18851,321590,H2AZ05173,CLINT SMITH,C,IND,197482.53,AZ,5
2022,ARIZONA,AZ,US HOUSE,6,False,False,JUAN CISCOMANI,REPUBLICAN,177201,349283,H2AZ02360,JUAN CISCOMANI,O,REP,3344411.15,AZ,6
2022,ARIZONA,AZ,US HOUSE,6,False,False,KIRSTEN ENGEL,DEMOCRAT,171969,349283,H2AZ02311,KIRSTEN ENGEL,C,DEM,2469071.03,AZ,6
2022,ARIZONA,AZ,US HOUSE,7,False,False,LUIS POZZOLO,REPUBLICAN,69444,195862,,,,,,,
2022,ARIZONA,AZ,US HOUSE,7,False,False,RAÚL M GRIJALVA,DEMOCRAT,126418,195862,H2AZ07070,RAUL M GRIJALVA,I,DEM,680516.72,AZ,7
2022,ARIZONA,AZ,US HOUSE,8,False,False,DEBBIE LESKO,REPUBLICAN,197555,204713,H8AZ08158,DEBBIE LESKO,I,REP,884874.66,AZ,8
2022,ARIZONA,AZ,US HOUSE,9,False,False,PAUL GOSAR,REPUBLICAN,192796,197185,H0AZ01259,PAUL DR. GOSAR,I,REP,854965.64,AZ,9
2022,CALIFORNIA,CA,US HOUSE,1,False,False,DOUG LAMALFA,REPUBLICAN,152839,246225,H2CA02142,DOUG LAMALFA,I,REP,685660.72,CA,1
2022,CALIFORNIA,CA,US HOUSE,1,False,False,MAX STEINER,DEMOCRAT,93386,246225,H2CA01227,MAX STEINER,C,DEM,611213.96,CA,1
2022,CALIFORNIA,CA,US HOUSE,10,False,False,MARK DESAULNIER,DEMOCRAT,198415,251380,H0CA10073,MARK DESAULNIER,I,DEM,524180.45,CA,10
2022,CALIFORNIA,CA,US HOUSE,10,False,False,MICHAEL ERNEST KERR,GREEN,52965,251380,H2CA10244,MICHAEL ERNEST KERR,C,GRE,6620.58,CA,10
2022,CALIFORNIA,CA,US HOUSE,11,False,False,JOHN DENNIS,REPUBLICAN,42217,263065,H2CA12174,JOHN MR. DENNIS,C,REP,941301.62,CA,11
2022,CALIFORNIA,CA,US HOUSE,11,False,False,NANCY PELOSI,DEMOCRAT,220848,263065,H8CA05035,NANCY PELOSI,I,DEM,28283172.75,CA,11
2022,CALIFORNIA,CA,US HOUSE,12,False,False,STEPHEN SLAUSON,REPUBLICAN,22859,239969,H2CA12240,STEPHEN SCOTT SLAUSON,C,REP,1050.0,CA,12
2022,CALIFORNIA,CA,US HOUSE,12,False,False,BARBARA LEE,DEMOCRAT,217110,239969,H8CA09060,BARBARA LEE,I,DEM,2341393.04,CA,12
2022,CALIFORNIA,CA,US HOUSE,13,False,False,JOHN DUARTE,REPUBLICAN,67060,133556,H2CA13131,JOHN DUARTE,C,OTH,2614406.17,CA,13
2022,CALIFORNIA,CA,US HOUSE,13,False,False,ADAM GRAY,DEMOCRAT,66496,133556,H2CA13115,ADAM C. GRAY,C,DEM,2335746.28,CA,13
2022,CALIFORNIA,CA,US HOUSE,14,False,False,ALISON HAYDEN,REPUBLICAN,60852,198464,H0CA15247,ALISON HAYDEN,C,REP,0.0,CA,14
2022,CALIFORNIA,CA,US HOUSE,14,False,False,ERIC SWALWELL,DEMOCRAT,137612,198464,H2CA15094,ERIC MICHAEL SWALWELL,I,DEM,3817690.34,CA,14
2022,CALIFORNIA,CA,US HOUSE,15,False,False,KEVIN MULLIN,DEMOCRAT,108077,194874,H2CA14162,KEVIN MULLIN,O,DEM,1191228.71,CA,15
2022,CALIFORNIA,CA,US HOUSE,15,False,False,DAVID J CANEPA,DEMOCRAT,86797,194874,H2CA14170,DAVID CANEPA,O,DEM,815318.46,CA,15
2022,CALIFORNIA,CA,US HOUSE,16,False,False,ANNA G ESHOO,DEMOCRAT,139235,241007,H8CA12098,ANNA G. ESHOO,I,DEM,2069255.34,CA,16
2022,CALIFORNIA,CA,US HOUSE,16,False,False,RISHI KUMAR,DEMOCRAT,101772,241007,H0CA18068,RISHI KUMAR,C,DEM,752584.28,CA,16
2022,CALIFORNIA,CA,US HOUSE,17,False,False,RITESH TANDON,REPUBLICAN,52400,180253,H0CA17193,RITESH TANDON,C,REP,116697.57,CA,17
2022,CALIFORNIA,CA,US HOUSE,17,False,False,RO KHANNA,DEMOCRAT,127853,180253,H4CA12055,ROHIT KHANNA,I,DEM,2922351.17,CA,17
2022,CALIFORNIA,CA,US HOUSE,18,False,False,PETER HERNANDEZ,REPUBLICAN,51737,151513,H2CA18163,PETER HERNANDEZ,C,REP,248690.33,CA,18
2022,CALIFORNIA,CA,US HOUSE,18,False,False,ZOE LOFGREN,DEMOCRAT,99776,151513,H4CA16049,ZOE LOFGREN,I,DEM,2771724.75,CA,18
2022,CALIFORNIA,CA,US HOUSE,19,False,False,JEFF GORMAN,REPUBLICAN,88816,283310,H0CA20122,JEFF GORMAN,C,REP,58955.07,CA,19
2022,CALIFORNIA,CA,US HOUSE,19,False,False,JIMMY PANETTA,DEMOCRAT,194494,283310,H6CA20152,JIMMY PANETTA,I,DEM,1618679.93,CA,19
2022,CALIFORNIA,CA,US HOUSE,2,False,False,DOUGLAS BROWER,REPUBLICAN,79029,308749,H2CA02209,DOUGLAS REV BROWER,C,REP,15677.0,CA,2
2022,CALIFORNIA,CA,US HOUSE,2,False,False,JARED HUFFMAN,DEMOCRAT,229720,308749,H2CA06259,JARED HUFFMAN,I,DEM,932320.69,CA,2
2022,CALIFORNIA,CA,US HOUSE,20,False,False,KEVIN MCCARTHY,REPUBLICAN,153847,228781,H6CA22125,KEVIN MCCARTHY,I,REP,27609762.68,CA,20
2022,CALIFORNIA,CA,US HOUSE,20,False,False,MARISA WOOD,DEMOCRAT,74934,228781,H2CA23155,MARISA WOOD,C,DEM,1046953.62,CA,20
2022,CALIFORNIA,CA,US HOUSE,21,False,False,MICHAEL MAHER,REPUBLICAN,57573,125647,H2CA22215,MICHAEL A MAHER,O,REP,309564.79,CA,21
2022,CALIFORNIA,CA,US HOUSE,21,False,False,JIM COSTA,DEMOCRAT,68074,125647,H4CA20082,JIM COSTA,I,DEM,2055957.67,CA,21
2022,CALIFORNIA,CA,US HOUSE,22,False,False,DAVID G VALADAO,REPUBLICAN,52994,102856,H2CA20094,DAVID VALADAO,I,REP,3845399.96,CA,22
2022,CALIFORNIA,CA,US HOUSE,22,False,False,RUDY SALAS,DEMOCRAT,49862,102856,H2CA21233,RUDY SALAS,C,DEM,2938879.9,CA,22
2022,CALIFORNIA,CA,US HOUSE,23,False,False,JAY OBERNOLTE,REPUBLICAN,103197,169105,H0CA08135,JAY OBERNOLTE,I,REP,759890.45,CA,23
2022,CALIFORNIA,CA,US HOUSE,23,False,False,DEREK MARSHALL,DEMOCRAT,65908,169105,H2CA08214,DEREK MARSHALL,C,DEM,942607.77,CA,23
2022,CALIFORNIA,CA,US HOUSE,24,False,False,BRAD ALLEN,REPUBLICAN,103533,262552,H2CA24229,BRAD DR. ALLEN,C,REP,40665.77,CA,24
2022,CALIFORNIA,CA,US HOUSE,24,False,False,SALUD O CARBAJAL,DEMOCRAT,159019,262552,H6CA24303,SALUD O. CARBAJAL,I,DEM,1475590.62,CA,24
2022,CALIFORNIA,CA,US HOUSE,25,False,False,BRIAN E HAWKINS,REPUBLICAN,65101,152742,H2CA01177,BRIAN HAWKINS,C,REP,534491.6,CA,25
2022,CALIFORNIA,CA,US HOUSE,25,False,False,RAUL RUIZ,DEMOCRAT,87641,152742,H2CA36439,RAUL DR. RUIZ,I,DEM,3036789.03,CA,25
2022,CALIFORNIA,CA,US HOUSE,26,False,False,MATT JACOBS,REPUBLICAN,112214,246789,H2CA26133,MATTHEW JACOBS,C,REP,2610882.38,CA,26
2022,CALIFORNIA,CA,US HOUSE,26,False,False,JULIA BROWNLEY,DEMOCRAT,134575,246789,H2CA00120,JULIA BROWNLEY,I,DEM,5211001.12,CA,26
2022,CALIFORNIA,CA,US HOUSE,27,False,False,MIKE GARCIA,REPUBLICAN,104624,196516,H0CA25105,MICHAEL GARCIA,I,REP,7453974.99,CA,27
2022,CALIFORNIA,CA,US HOUSE,27,False,False,CHRISTY SMITH,DEMOCRAT,91892,196516,H0CA25154,CHRISTY SMITH,C,DEM,4067086.96,CA,27
2022,CALIFORNIA,CA,US HOUSE,28,False,False,WES HALLMAN,REPUBLICAN,76495,226557,,,,,,,
2022,CALIFORNIA,CA,US HOUSE,28,False,False,JUDY CHU,DEMOCRAT,150062,226557,H0CA32101,JUDY CHU,I,DEM,1022615.56,CA,28
2022,CALIFORNIA,CA,US HOUSE,29,False,False,TONY CÁRDENAS,DEMOCRAT,69915,119435,H2CA28113,TONY CARDENAS,I,DEM,1885959.05,CA,29
2022,CALIFORNIA,CA,US HOUSE,29,False,False,ANGÉLICA MARIA DUEÑAS,DEMOCRAT,49520,119435,H8CA29100,ANGELICA MARIA DUENAS,C,DEM,146976.62,CA,29
2022,CALIFORNIA,CA,US HOUSE,3,False,False,KEVIN KILEY,REPUBLICAN,181438,338199,H2CA03157,KEVIN KILEY,C,REP,3173870.51,CA,3
2022,CALIFORNIA,CA,US HOUSE,3,False,False,KERMIT JONES,DEMOCRAT,156761,338199,H2CA04122,KERMIT JONES,C,DEM,3230693.36,CA,3
2022,CALIFORNIA,CA,US HOUSE,30,False,False,ADAM B SCHIFF,DEMOCRAT,150100,211068,H0CA27085,ADAM SCHIFF,I,DEM,18213398.9,CA,30
2022,CALIFORNIA,CA,US HOUSE,30,False,False,G “MAEBE A GIRL” PUDLO,DEMOCRAT,60968,211068,H0CA28174,G MAEBE A. GIRL PUDLO,C,DEM,31578.69,CA,30
2022,CALIFORNIA,CA,US HOUSE,31,False,False,DANIEL BOCIC MARTINEZ,REPUBLICAN,62153,153625,,,,,,,
2022,CALIFORNIA,CA,US HOUSE,31,False,False,GRACE F NAPOLITANO,DEMOCRAT,91472,153625,H8CA34068,GRACE NAPOLITANO,I,DEM,240026.76,CA,31
2022,CALIFORNIA,CA,US HOUSE,32,False,False,LUCIE LAPOINTE VOLOTZKY,REPUBLICAN,74618,242029,H2CA30283,LUCIE LAPOINTE VOLOTZKY,C,REP,51615.73,CA,32
2022,CALIFORNIA,CA,US HOUSE,32,False,False,BRAD SHERMAN,DEMOCRAT,167411,242029,H6CA24113,BRAD SHERMAN,I,DEM,2307797.09,CA,32
2022,CALIFORNIA,CA,US HOUSE,33,False,False,JOHN MARK PORTER,REPUBLICAN,56119,132707,H2CA33253,JOHN MARK MR PORTER,C,REP,67.17,CA,33
2022,CALIFORNIA,CA,US HOUSE,33,False,False,PETE AGUILAR,DEMOCRAT,76588,132707,H2CA31125,PETE AGUILAR,I,DEM,3514931.08,CA,33
2022,CALIFORNIA,CA,US HOUSE,34,False,False,JIMMY GOMEZ,DEMOCRAT,62244,121467,H8CA34266,JIMMY GOMEZ,I,DEM,1712082.18,CA,34
2022,CALIFORNIA,CA,US HOUSE,34,False,False,DAVID KIM,DEMOCRAT,59223,121467,,,,,,,
2022,CALIFORNIA,CA,US HOUSE,35,False,False,MIKE CARGILE,REPUBLICAN,55832,130953,H0CA35146,MIKE CARGILE,C,REP,65802.87,CA,35
2022,CALIFORNIA,CA,US HOUSE,35,False,False,NORMA J TORRES,DEMOCRAT,75121,130953,H4CA35031,NORMA TORRES,C,DEM,642464.66,CA,35
2022,CALIFORNIA,CA,US HOUSE,36,False,False,JOE E COLLINS III,REPUBLICAN,84264,278563,H0CA43108,JOE E III COLLINS,C,REP,3142196.76,CA,36
2022,CALIFORNIA,CA,US HOUSE,36,False,False,TED LIEU,DEMOCRAT,194299,278563,H4CA33119,TED LIEU,I,DEM,2660136.42,CA,36
2022,CALIFORNIA,CA,US HOUSE,37,False,False,SYDNEY KAMLAGER,DEMOCRAT,84338,131880,H2CA37304,SYDNEY KAMLAGER,O,DEM,1119591.65,CA,37
2022,CALIFORNIA,CA,US HOUSE,37,False,False,JAN C PERRY,DEMOCRAT,47542,131880,H2CA37312,JAN PERRY,O,DEM,709499.38,CA,37
2022,CALIFORNIA,CA,US HOUSE,38,False,False,ERIC J CHING,REPUBLICAN,73051,174311,H2CA39151,ERIC J CHING,C,REP,275725.66,CA,38
2022,CALIFORNIA,CA,US HOUSE,38,False,False,LINDA T SÁNCHEZ,DEMOCRAT,101260,174311,H2CA39078,LINDA SANCHEZ,I,DEM,1917044.99,CA,38
2022,CALIFORNIA,CA,US HOUSE,39,False,False,AJA SMITH,REPUBLICAN,55701,131597,,,,,,,
2022,CALIFORNIA,CA,US HOUSE,39,False,False,MARK TAKANO,DEMOCRAT,75896,131597,H2CA43245,MARK TAKANO,I,DEM,927262.28,CA,39
2022,CALIFORNIA,CA,US HOUSE,4,False,False,MATT BROCK,REPUBLICAN,84007,260907,H2CA04148,MATTHEW BROCK,C,REP,11242.15,CA,4
2022,CALIFORNIA,CA,US HOUSE,4,False,False,MIKE THOMPSON,DEMOCRAT,176900,260907,H8CA01109,MIKE MR. THOMPSON,I,DEM,2396636.82,CA,4
2022,CALIFORNIA,CA,US HOUSE,40,False,False,YOUNG KIM,REPUBLICAN,161589,284311,H8CA39240,YOUNG KIM,I,REP,9349804.28,CA,40
2022,CALIFORNIA,CA,US HOUSE,40,False,False,ASIF MAHMOOD,DEMOCRAT,122722,284311,H2CA40092,ASIF DR. MAHMOOD,C,DEM,3684772.77,CA,40
2022,CALIFORNIA,CA,US HOUSE,41,False,False,KEN CALVERT,REPUBLICAN,123869,236638,H2CA37023,KEN CALVERT,I,REP,4069069.73,CA,41
2022,CALIFORNIA,CA,US HOUSE,41,False,False,WILL ROLLINS,DEMOCRAT,112769,236638,H2CA42205,WILL ROLLINS,C,DEM,3736059.18,CA,41
2022,CALIFORNIA,CA,US HOUSE,42,False,False,JOHN BRISCOE,REPUBLICAN,45903,145120,H8CA47078,JOHN BRISCOE,C,REP,296850.32,CA,42
2022,CALIFORNIA,CA,US HOUSE,42,False,False,ROBERT GARCIA,DEMOCRAT,99217,145120,H2CA47188,ROBERT GARCIA,C,DEM,1374250.43,CA,42
2022,CALIFORNIA,CA,US HOUSE,43,False,False,OMAR NAVARRO,REPUBLICAN,27985,123447,H6CA44145,OMAR NAVARRO,C,REP,88751.81,CA,43
2022,CALIFORNIA,CA,US HOUSE,43,False,False,MAXINE WATERS,DEMOCRAT,95462,123447,H4CA23011,MAXINE WATERS,I,DEM,1367509.9,CA,43
2022,CALIFORNIA,CA,US HOUSE,44,False,False,PAUL JONES,REPUBLICAN,38554,138714,,,,,,,
2022,CALIFORNIA,CA,US HOUSE,44,False,False,NANETTE DIAZ BARRAGÁN,DEMOCRAT,100160,138714,H6CA44103,NANETTE BARRAGAN,I,DEM,759136.83,CA,44
2022,CALIFORNIA,CA,US HOUSE,45,False,False,MICHELLE STEEL,REPUBLICAN,113960,217426,H0CA48198,MICHELLE STEEL,I,REP,7112137.89,CA,45
2022,CALIFORNIA,CA,US HOUSE,45,False,False,JAY F CHEN,DEMOCRAT,103466,217426,H2CA39136,JAY CHEN,C,DEM,5100737.36,CA,45
2022,CALIFORNIA,CA,US HOUSE,46,False,False,CHRISTOPHER J GONZALES,REPUBLICAN,48257,126298,H0CA45160,CHRISTOPHER GONZALES,C,REP,49194.3,CA,46
2022,CALIFORNIA,CA,US HOUSE,46,False,False,J LUIS CORREA,DEMOCRAT,78041,126298,H6CA46116,LOU CORREA,I,DEM,918746.97,CA,46
2022,CALIFORNIA,CA,US HOUSE,47,False,False,SCOTT BAUGH,REPUBLICAN,128261,265635,,,,,,,
2022,CALIFORNIA,CA,US HOUSE,47,False,False,KATIE PORTER,DEMOCRAT,137374,265635,H8CA45130,KATHERINE PORTER,I,DEM,28863841.45,CA,47
2022,CALIFORNIA,CA,US HOUSE,48,False,False,DARRELL ISSA,REPUBLICAN,155171,257071,H0CA48024,DARRELL ISSA,I,REP,2012187.17,CA,48
2022,CALIFORNIA,CA,US HOUSE,48,False,False,STEPHEN HOULAHAN,DEMOCRAT,101900,257071,H2CA50174,STEPHEN WILLIAM HOULAHAN,C,DEM,61315.73,CA,48
2022,CALIFORNIA,CA,US HOUSE,49,False,False,BRIAN MARYOTT,REPUBLICAN,138194,291735,H8CA49108,BRIAN L MR MARYOTT,C,REP,5599337.33,CA,49
2022,CALIFORNIA,CA,US HOUSE,49,False,False,MIKE LEVIN,DEMOCRAT,153541,291735,H8CA49058,MIKE LEVIN,I,DEM,6516425.87,CA,49
2022,CALIFORNIA,CA,US HOUSE,5,False,False,TOM MCCLINTOCK,REPUBLICAN,173524,283030,H8CA04152,THOMAS MCCLINTOCK,I,REP,1707260.0,CA,5
2022,CALIFORNIA,CA,US HOUSE,5,False,False,MICHAEL J “MIKE” BARKLEY,DEMOCRAT,109506,283030,H2CA00096,MICHAEL JAMES MR. BARKLEY,C,DEM,462048.75,CA,5
2022,CALIFORNIA,CA,US HOUSE,50,False,False,COREY GUSTAFSON,REPUBLICAN,99819,268635,H2CA50232,COREY GUSTAFSON,C,REP,94112.24,CA,50
2022,CALIFORNIA,CA,US HOUSE,50,False,False,SCOTT H PETERS,DEMOCRAT,168816,268635,H2CA52089,SCOTT PETERS,I,DEM,2257902.97,CA,50
2022,CALIFORNIA,CA,US HOUSE,51,False,False,STAN CAPLAN,REPUBLICAN,88886,233072,H2CA51206,STAN CAPLAN,C,REP,135385.49,CA,51
2022,CALIFORNIA,CA,US HOUSE,51,False,False,SARA JACOBS,DEMOCRAT,144186,233072,H8CA49074,SARA JACOBS,C,DEM,1724604.81,CA,51
2022,CALIFORNIA,CA,US HOUSE,52,False,False,TYLER GEFFENEY,REPUBLICAN,50330,151016,H2CA52188,TYLER GEFFENEY,C,REP,29229.21,CA,52
2022,CALIFORNIA,CA,US HOUSE,52,False,False,JUAN VARGAS,DEMOCRAT,100686,151016,H2CA50026,JUAN C. VARGAS,I,DEM,793081.82,CA,52
2022,CALIFORNIA,CA,US HOUSE,6,False,False,TAMIKA HAMILTON,REPUBLICAN,95325,216383,H0CA03128,TAMIKA HAMILTON,C,REP,1157631.44,CA,6
2022,CALIFORNIA,CA,US HOUSE,6,False,False,AMI BERA,DEMOCRAT,121058,216383,H0CA03078,AMERISH BERA,I,DEM,1839780.62,CA,6
2022,CALIFORNIA,CA,US HOUSE,7,False,False,MAX SEMENENKO,REPUBLICAN,70033,220651,H2CA07141,MAX SEMENENKO,C,REP,48486.15,CA,7
2022,CALIFORNIA,CA,US HOUSE,7,False,False,DORIS O MATSUI,DEMOCRAT,150618,220651,H6CA05195,DORIS MATSUI,I,DEM,1488665.86,CA,7
2022,CALIFORNIA,CA,US HOUSE,8,False,False,RUDY RECILE,REPUBLICAN,46634,192135,H2CA00153,RUDY RECILE,C,REP,60154.65,CA,8
2022,CALIFORNIA,CA,US HOUSE,8,False,False,JOHN GARAMENDI,DEMOCRAT,145501,192135,H0CA10149,JOHN GARAMENDI,I,DEM,1136592.75,CA,8
2022,CALIFORNIA,CA,US HOUSE,9,False,False,TOM PATTI,REPUBLICAN,78802,174400,H2CA09139,THOMAS PATTI,O,REP,1585048.49,CA,9
2022,CALIFORNIA,CA,US HOUSE,9,False,False,JOSH HARDER,DEMOCRAT,95598,174400,H8CA10126,JOSH HARDER,O,DEM,8913422.09,CA,9
2022,COLORADO,CO,US HOUSE,1,False,False,JENNIFER QUALTERI,REPUBLICAN,49530,282616,,,,,,,
2022,COLORADO,CO,US HOUSE,1,False,False,DIANA DEGETTE,DEMOCRAT,226929,282616,H6CO01141,DIANA L DEGETTE,I,DEM,1079632.86,CO,1
2022,COLORADO,CO,US HOUSE,1,False,False,JOHN C KITTLESON,LIBERTARIAN,6157,282616,,,,,,,
2022,COLORADO,CO,US HOUSE,2,False,False,MARSHALL DAWSON,REPUBLICAN,97700,348839,H2CO02205,MARSHALL DAWSON,C,REP,34886.38,CO,2
2022,COLORADO,CO,US HOUSE,2,False,False,JOE NEGUSE,DEMOCRAT,244107,348839,H8CO02160,JOSEPH NEGUSE,I,DEM,1383704.82,CO,2
2022,COLORADO,CO,US HOUSE,2,False,False,STEVE YURASH,COLORADO CENTER PARTY,2876,348839,,,,,,,
2022,COLORADO,CO,US HOUSE,2,False,False,GARY L NATION,AMERICAN CONSTITUTION PARTY,2188,348839,,,,,,,
